"Двух сотрудников охраны президента США Джо Байдена выслали на родину после инцидента в Сеуле. Об этом сообщил официальный представитель Секретной службы Энтони Гуглиелми. Он отметил, что ведомству стало известно о происшествии, оно случилось в нерабочее время сотрудников и способно представлять собой нарушение правил."
"Президент Украины Владимир Зеленский предложил иностранным государствам-партнерам заключить многосторонний договор, который предполагает конфискацию активов России за рубежом и передачу их Украине и другим странам. С такой инициативой он выступил в видеообращении, опубликованном в Telegram-канале его офиса."
"Следственный комитет России допросил сложивших оружие в «Азовстали» военных, благодаря чему выяснилось, что попавший ранее в плен к российским военным в ходе спецоперации на Украине британский наемник Шон Пиннер, утверждавший, что его задачей было обучение солдат ВСУ, на самом деле является снайпером."
"Врач-педиатр, главный профилактолог УрФО, доктор медицинских наук Сергей Токарев рассказал, что россияне могут столкнуться с потерей иммунитета после перенесенного коронавируса. Токарев заявил, что COVID-19 воздействует на иммунную систему, поэтому ее состояние после болезни необходимо проверить у врача."
"Министр иностранных дел и внешнеэкономических связей Венгрии Петер Сийярто предрек, что экономика страны окажется уничтоженной без поставок российской нефти. Министр также отметил, что технологически для переработки нефти, отличной от российской, понадобится 550 миллионов евро инвестиций."
"Президент Молдавии Майя Санду в эфире телеканала Moldova 1 заявила, что республика начнет приобретать газ на рынке, если России прекратит поставки. Пока длится война на Украине, у нас будут высокие цены на энергоресурсы, мы вынуждены платить эту цену, это наша драма», — подчеркнула она."
"Официальный представитель Минобороны России генерал-майор Игорь Конашенков сообщил о полном освобождении территории завода «Азовсталь» в Мариуполе. По его данным, подземные сооружения завода, в которых прятались украинские бойцы, перешли под полный контроль российских вооруженных сил."
"Глава Чечни Рамзан Кадыров заявил, что воюющим в Лисичанске и Северодонецке украинским военным нужно подумать о семьях и сложить оружие. «В противном случае мы настроены жестоко: мы не будем щадить никого, кто взял в руки оружие. Мы показывали вчера и сегодня хорошие результаты», — добавил он."
"Официальный представитель Пентагона Джон Кирби опроверг наличие у США планов по уничтожению Черноморского флота России: «Могу с определенностью вам сказать, что это не правда». Ранее советник главы МВД Украины Антон Геращенко сообщил, что США обсуждают поставки мощного противокорабельного оружия."
"Организаторы Уимблдона отреагировали на санкции со стороны Ассоциации теннисистов-профессионалов (ATP) и Женской теннисной ассоциации (WTA). Организаторы соревнований в Лондоне посчитали лишение рейтинговых очков непропорциональной мерой, которая нанесет ущерб теннисистам, принимающим участие в туре."
"Президент Турции Реджеп Тайип Эрдоган и премьер-министр Великобритании Борис Джонсон провели переговоры по телефону. В ходе диалога политики обсудили региональные события, включая отношения Турции и Великобритании, и ситуацию, сложившуюся между Украиной и Россией, передает ТАСС."
"Пресс-секретарь Минобороны США Джон Кирби рассказал, что в Вашингтоне работают над передачей ВСУ средств огневого поражения большой дальности. По его словам, при обсуждениях новой военной помощи Киеву Вашингтон прежде всего учитывает именно потребности украинских военных, пытаясь обеспечить им преимущество на поле боя."
"Представитель Пентагона Джон Кирби рассказал, что министерство обороны может задействовать американскую военно-транспортную авиацию для экстренного ввоза в США детского питания. Ранее американская сторона планировала ввозить детские смеси на коммерческих грузовых самолетах."
"Литва с 22 мая перестанет получать электричество из России, решение прекратить импорт 20 мая принял биржевой оператор Nord Pool. Об этом сообщил литовский оператор системы передачи электроэнергии Litgrid. Он отметил, что в последние годы импорт электричества из России в последние годы целенаправленно уменьшался."
В Москве организовали проверку в СИЗО-2 из-за майнинга криптовалюты в психбольнице. Проверка в «Бутырке» идет из-за установки майнинг-фермы в здании психиатрической больницы на Новослободской улице. В результате было израсходовано электроэнергии более чем на 62 тысячи рублей.
"Министерство торговли США в пятницу отозвало экспортные привилегии у авиакомпании «Россия» в связи с приписываемыми ей нарушениями экспортных ограничений, введенных против России. Ограничения будут находиться в силе в течение 180 дней, после чего может быть принято решение об их продлении."
"Официальный представитель Пентагона Джон Кирби заявил, что США не хотели бы наблюдать эскалацию кризиса на Украине. «Никто не желает видеть, чтобы эта война продолжалась еще хотя бы один день. <...> Мы не считаем, что эскалация пойдет на пользу интересам украинского народа, региона и нашим тоже», — отметил он."
"Врач-инфекционист, главный врач клинико-диагностической лаборатории ООО «Инвитро-Сибирь» Андрей Поздняков назвал группы риска по заболеванию оспой обезьян. Он рассказал об опасности этой инфекции для молодого невакцинированного поколения, поскольку прививку от натуральной оспы не ставят более 40 лет."
"Президент Украины Владимир Зеленский отреагировал на освобождение территории завода «Азовсталь», заявив, что украинские силовики, сдавшиеся российским военным, имеют полное право «выйти и сберечь свою жизнь». Украинский лидер заявил, что украинские военные получили соответствующий сигнал."
"Бывший чемпион мира по боксу Майк Тайсон прокомментировал инцидент с избиением пассажира в самолете авиакомпании JetBlue. 55-летний Тайсон признался, что усвоил важный урок из случившегося. «Никогда не думал, что мои действия могут взволновать так много людей», — заявил он."
"В Европе есть случаи торговли женщинами и детьми с Украины, заявил постоянный представитель России при ООН Василий Небензя. По его словам, международные организации обязаны проследить, чтобы украинские женщины и дети в Европе не стали жертвами преступников, зарабатывающих на торговле людьми."
"Официальный представитель Минобороны РФ генерал-майор Игорь Конашенков рассказал, что российские военные были вынуждены вывезти сдавшегося в плен командира полка «Азов» с территории завода «Азовсталь» в специальном бронеавтомобиле, чтобы не допустить расправы над ним местных жителей."
"Врач-инфекционист телемедицинского сервиса «Доктис» Людмила Кушниренко оценила вероятность завоза нового вируса оспы обезьян в Россию. Она отметила, что такой риск существует, в частности из-за путешествий в Азию и Африку. Вакцинируют от этого заболевания тем же препаратом, что и против натуральной оспы."
Министр обороны России Сергей Шойгу доложил президенту России Владимиру Путину о завершении операции и полном освобождении комбината «Азовсталь» и Мариуполя от украинских бойцов. Об этом сообщил официальный представитель Минобороны России генерал-майор Игорь Конашенков.
"Бывший премьер-министр Италии Сильвио Берлускони в интервью askanews прокомментировал ситуацию, сложившуюся на Украине. Киеву следует принять предложения Москвы. «Я считаю, что объединенная Европа должна внести мирное предложение, пытаясь сделать так, чтобы украинцы приняли вопросы Путина», — заявил экс-премьер."
"Начальник Национального центра управления обороной РФ генерал-полковник Михаил Мизинцев рассказал о случаях мародерства со стороны ВСУ. «Проводят в жилых кварталах мародерские рейды. Под угрозой применения оружия они насильно забирают у мирных жителей денежные средства, ценные вещи и личные автомобили», — отметил он."
"Госдепартамент США оценил вероятность встречи главы МИД России и госекретаря Энтони Блинкена. В ведомстве считают, что время для новых контактов еще не пришло, заявил официальный представитель Нед Прайс, ровно как и для других контактов между представителями госдепартамента и их российскими коллегами."
"Начальник Национального центра управления обороной России генерал-полковник Михаил Мизинцев заявил, что вопреки трудностям, которые создает Киев, российские военные за сутки эвакуировали из опасных районов ДНР, ЛНР и Украины более 17 тысяч человек, в том числе 2213 детей."
"Официальный представитель Минобороны России генерал-майор Игорь Конашенков сообщил о полном освобождении территории завода «Азовсталь». По данным ведомства, подземные сооружения завода, в которых прятались украинские бойцы, перешли под полный контроль российских вооруженных сил."
"Все находившиеся на предприятии «Азовсталь» в Мариуполе украинские военные вышли с его территории. Об этом сообщила лавный редактор МИА «Россия сегодня» и RT Маргарита Симоньян. С аналогичным заявлением выступил Первый канал. Отмечалось, что все военнослужащие, находившиеся на территории предприятия, сложили оружие."
"Германия может стать независимой от газа из РФ к весне 2025 года, заявил глава энергетического концерна RWE Маркус Креббер. «Если мы быстро отстроимся, сможем сделать это к весне 2025 года. Годом ранее проблемы с поставками можно было бы в какой-то степени решить», — сказал он, отвечая на соответствующий вопрос."
"Ввести новые санкции против России Западу мешает страх перед экономическим спадом. Таким образом отсутствие очередных ограничений объяснила газета Washington Post. Издание пишет, что объем санкций против России уже «экстраординарный», в то время как ЕС продолжает приобретать энергоресурсы у Москвы."
"В Министерстве иностранных дел России рассказали об условиях возобновления экспорта зерна из украинских портов. «Если ""внешние кукловоды"" смогут донести до киевских подопечных, что время демагогии прошло и пора убрать свои минные заграждения, то экспорт зерна возобновится в кратчайшие сроки», — уточнили в МИД."
"Немецкий фермер Ульф Оллхофф-Крамер инициировал судебный процесс против автопроизводителя Volkswagen, чтобы заставить компанию позаботиться об окружающей среде. Он намерен добиться от концерна  прекращения выпуска топливных автомобилей к 2030 году. Фермера поддержала международная организация Greenpeace."
"Памятник советским воинам в городе Меркине на юге Литвы во время сноса раскололся пополам. По словам мэра Варенского района Альгиса Кашеты, до сноса памятника не было ощущения, что советские воины окончательно покинули Литву, однако теперь можно утверждать, что последний солдат покинул эти края."
"Министерство юстиции России внесло в список физических лиц, выполняющих функции иностранного агента, шахматиста и политика Гарри Каспарова и экс-главу ЮКОСа Михаила Ходорковского. Об этом сообщается на сайте ведомства. Всего на данный момент в перечень включены семь человек."
"Ассоциация теннисистов-профессионалов (ATP) объявила об окончательном решении относительно вопроса о рейтинговых очках за участие в Уимблдоне.  В качестве ответной меры на отстранение россиян ассоциация отказалась присуждать рейтинговые очки теннисистам, которые примут участие в Уимблдоне."
"Законопроект о выделении дополнительной помощи Украине примерно на 40 миллиардов долларов решили везти на подпись президенту США Джо Байдену в Сеул, в эти дни он находится в турне по странам Азии. Кто именно должен доставить документ главе государства, но, как указывается, речь идет о представителе администрации."
"Официальный представитель генсека ООН Стефан Дюжаррик рассказал, что генеральный секретарь международной организации Антониу Гутерриш получил личное послание от белорусского президента Александра Лукашенко. «Мы не будем давать комментариев по поводу содержания послания», — отметил он."
"Министр транспорта Литвы Марюс Скуодис рассказал, что количество зерна, которое можно вывезти с Украины через страны Балтии и Польшу, очень ограничено из-за логистических проблем. Он назвал два возможных варианта решения проблемы — транзит через Белоруссию и вывоз товара поездами на Запад, в Польшу."
"Английская телеведущая, журналистка и писательница Джанет Стрит-Портер заявила о появлении нового поколения женщин в возрасте за 70, которое она назвала «Клубом три четверти от сотни». По словам Стрит-Портер, современные 70-летние отличаются от своих матерей позитивностью и отказом смотреть в свое прошлое."
Заместитель командира полка «Азов» Святослав Паламарь с позывным «Калина» вышел из подземных коммуникаций мариупольского завода «Азовсталь» и сдался в плен российским военнослужащим. Об этом журналистка «Первого канала» Ирина Куксенкова сообщила в личном Telegram-канале.
"Врач Елена Тихомирова рассказала, что выполнение ежедневных ритуалов может добавить мотивации худеющим, и перечислила полезные привычки. Она предложила принимать контрастный душ, соблюдать водный баланс, составить четкий план питания, принимать расслабляющую ванну по вечерам и совершать любую физическую активность."
"На шествии «за освобождение от советского наследия», которое проходит в центре Риги, задержали троих человек, одного из них — за то, что показал российский флаг на экране телефона. Второй задержанный пытался преградить путь участникам шествия и лег на пути колонны, третий выкрикивал лозунги в общественном транспорте."
"Американская супермодель Эмили Ратаковски в откровенном образе отправилась на прогулку с собакой по кличке Коломбо. Папарацци запечатлели манекенщицу в прозрачном черном платье, из-под которого виднеется нижнее белье. Свой образ она дополнила кроссовками, солнцезащитными очками, массивным ожерельем и белой сумкой."
"Тихоокеанский флот получит новые подводные лодки и надводные корабли в 2022 году, сообщил командующий флотом адмирал Сергей Авакянц. Подводные силы флота получат атомные подводные лодки «Князь Олег» и «Новосибирск», а также дизель-электрическую подводную лодку «Магадан» проекта 636.3."
"Стало известно о позиции «Фиорентины» относительно будущего российского нападающего клуба Александра Кокорина. Собеседник «РБ Спорт», связанный с «фиалками», рассказал, что «Фиорентина» разочаровалась в российском форварде и готова бесплатно отдать игрока, если россиянин договорится с новым клубом."
"В Республике Башкортостан задержали подозреваемую в двойном убийстве 68-летнюю пенсионерку. 19 мая произошло возгорание дома в селе Кушнаренково. В огне погибли два человека – 68-летний хозяин дома и его 50-летний знакомый, еще трое попали в больницу с ожогами. Так россиянка отомстила выгнавшим ее из дома мужчинам."
"Клиенты туроператора TUI рассказали, что не смогли отправиться в свадебное путешествие из-за отмены рейса и несвоевременного возврата денег. Британцы Джовита и Янни Конради (Jovita and Jannie Conradie) с острова Шеппи планировали провести десять дней на Маврикии после свадьбы, однако их план сорвался."
"В США выставили на продажу дом, которым одно время владел бывший муж американской певицы Дженнифер Лопес, музыкант Марк Энтони. В звездном особняке предложили пожить более чем за 10 миллионов долларов, сообщает Mansion Global. Бывшее владение Энтони находится в роскошном поселении Пайнкрест."
"Популярный российский юморист и телеведущий Максим Галкин высказался о том, почему решил закрыть в России свое рекламное агентство. Согласно данным Федеральной налоговой службы, представители Галкина подали заявление о ликвидации компании 17 мая. Галкин подчеркнул, что «политического подтекста» в ситуации нет."
"Франция борется с засухой — условия для выращивания зерна ухудшаются вторую неделю подряд. По данным Министерства сельского хозяйства Франции, только 73 процента пшеницы находятся в «отличном» или «хорошем» состоянии, тогда как на прошлой неделе этот показатель составлял 82 процента."
"В Чебоксарах 33-летнего местного жителя осудили на 10 лет колонии строгого режима за убийство отца. По данным следствия, мужчина сначала убил родственника предметом, похожим на шило, зачем расчленил его тело и для утяжеления вкрутил в каждую из частей тела металлические конструкции, после чего утопил в пруду."
"Дочерняя компания «Газпрома» «Газпром экспорт» пообещала отстаивать свои интересы в арбитражном суде в споре с Финляндией, которая отказалась платить за поставляемый газ рублями. «""Газпром экспорт"" будет защищать свои интересы в арбитражном разбирательстве доступными средствами», — говорится в заявлении компании."
"Основатель батальона «Восток» сил Донецкой народной республики (ДНР) Александр Ходаковский заявил, что с территории завода «Азовсталь» в Мариуполе слышны взрывы.  Об этом он сообщил в своем Telegram-канале. По мнению Ходаковского, украинские силовики могут уничтожать нечто ценное для них с помощью взрывчатки."
"Топ-менеджер крупнейшего британского банка HSBC Стюарт Кирк, руководящий отделом ESG-инвестиций, заявил, что мировые лидеры преувеличивают финансовые риски глобального потепления. Отказ банкира верить в cерьезные проблемы сектора вызвал острую критику со стороны климатических активистов."
"Garmin выпустила радар с функцией видеорегистратора для велосипедистов. Журналисты назвали Varia RCT715 первым гаджетом, который совмещает в себе видеорегистратор и радар. Девайс крепится на подседельном штыре и во время движения  записывает видео со встроенной камеры. Стоимость аппарата составила 400 долларов."
"Ведущий программы «Жить здорово!» на Первом канале и врач-педиатр Андрей Продеус предупредил об опасности шашлыка для детей. По словам телеврача, блюда в маринаде и со специями можно вводить в рацион ребенка только после трех лет. Кроме того, шашлыки содержат канцерогены — вещества, вызывающие рак, напомнил Продеус."
"Сенатор Конгресса США от штата Миссури Джош Хоули поспорил с министром энергетики США Дженнифер Грэнхолм о роли России и лично президента Владимира Путина в росте цен на топливо, раскритиковав политику американского лидера Джо Байдена в отношении энергоресурсов. Об этом сообщает телеканал Fox News."
"Командир полка украинских вооруженных сил «Азов» Денис Прокопенко (Редис) вышел с территории завода «Азовсталь» в Мариуполе и сдался в плен, сообщила журналист Первого канала Ирина Куксенкова. Ранее в видеообращении он заявил о прекращении сопротивления и что военное руководство Украины приказало прекратить оборону."
"Танцор Кори О'Брайен скопировал образ Ким Кардашьян, который она выбрала для бала Met Gala 2022, и рассмешил подписчиков. Мужчина приобрел похожее платье в масс-маркете за 12 долларов (745 рублей) и самостоятельно украсил его более чем 350 сверкающими деталями. При этом белую шаль он изготовил из бумажных полотенец."
"Чтобы проверить состояние здоровья, проще всего пройти диспансеризацию. Она включает в себя все главные исследования организма. Но достаточно ежегодно проводить всего три самые важные процедуры, чтобы убедиться в отсутствии рисков. Об этом в беседе с «Лентой.ру» рассказал врач-терапевт Филипп Кузьменко."
"Томский гарнизонный военный суд вынес приговор военнослужащему-контрактнику по делу об убийстве сослуживца. Старший сержант выпивал с сослуживцами на даче, во время застолья он вспомнил старую обиду на товарища и дал ему пощечину, от которой тот упал и ударился головой, перестав подавать признаки жизни."
"Торжественная церемония вручения первой Национальной премии интернет-контента пройдет в Москве 02 июня 2022 года в Music Media Dome. Награда учреждена Институтом развития интернета (ИРИ) при поддержке Президентского фонда культурных инициатив, стратегическим партнером выступил холдинг VK."
"Глава МОК Томас Бах высказался о расследовании дела российской фигуристки Камилы Валиевой. Он пояснил, что комитет не занят расследованием допинг-скандала, а дело на контроле у антидопинговых организаций — Всемирного антидопингового агентства (WADA) и Международного агентства тестирования (ITA)."
"Бортпроводница, проработавшая на частном самолете более 10 лет, рассказала о самых странных просьбах богатых и знаменитых клиентов. По словам девушки, клиенты не всегда ведут себя прилично, в частности, некоторые сильно напиваются. Кроме того, влиятельные люди нередко просят о странных услугах во время полета."
Американская корпорация по производству алюминия и алюминиевой продукции Arconic Inc объявила о намерении продать Самарский металлургический завод. Отказ от работы в России будет стоить компании из США примерно 500 миллионов долларов. Arconic пообещала обеспечить сотрудникам успешный переход на новую работу в будущем.
"Более 40 ученых в своих статьях назвали химические вещества, загрязняющие окружающую среду, причиной ожирения людей. О неожиданном влиянии выбросов говорится в публикации медицинского журнала Biochemical Pharmacology, сообщает The Guardian. Исследователи выявили около 50 химических веществ."
"В рядах территориальной обороны Украины начались бунты из-за отправки подразделений на передовую без подготовки. По данным украинских СМИ, бойцы теробороны отказываются выполнять боевые задачи, а их родственники устраивают протесты. Две бригады записали видеообращения к командованию и властям."
"Депутат Госдумы Валерий Рашкин через суд потребовал от комитета охотничьего хозяйства Саратовской области принять лосиху, которую он купил.<br />В ночь на 29 октября 2021 года Валерий Рашкин вместе со знакомыми охотился на лося в Саратовской области, при этом не имея  разрешения на охоту."
"Канадскому шеф-повару и владельцу тату-салона Реми (фамилия не указана) пригрозили лишением родительских прав из-за его татуировок. Мужчина, известный в соцсетях под псевдонимом ephemeral_remy, рассказал, что стал получать негативные комментарии от пользователей относительно его отцовства."
"Доктор юридических наук и профессор Крейг Б.Баркач объяснил, почему работа на низких должностях приводит человека к ранней смерти. Он приводит в пример исследование, в котором изучались показатели уровни смертности среди представителей разных социальных классов в одной профессиональной отрасли."
В Воронежской области сотрудники полиции пресекли попытку передачи в СИЗО сильнодействующего вещества. Задержана 31-летняя сожительница арестанта. Она заказала в интернете поддельный рецепт на медицинский препарат «Лирика» и забрала его из тайника. Она приобрела по нему в аптеке четыре пачки лекарства для сожителя.
"Компания Genesis представила новый автомобиль GV60 с поддержкой функции электронного ключа с помощью смартфона. Genesis, которая является дочерней компанией Hyundai, добавила опцию электронного ключа для электрокара GV60. Автомобиль можно открыть и удаленно запустить двигатель посредством смартфона с поддержкой UWB."
"35-летняя жительница Эссекса бросила работу в магазине по продаже сыра и решилась стать порнозвездой, но со временем пожалела об этом. Уэст объяснила, что из-за секса на камеру теперь ей сложно настроиться на непрофессиональный секс, и это сказывается на ее отношениях с партнером."
"Поп-исполнительница Билли Айлиш взволновала фанатов новым снимком в откровенном образе. 20-летняя звезда поделилась серией личных фото, сделанных во времена, когда она была блондинкой. Однако внимание подписчиков привлек кадр, на котором певица предстала в телесном бюстгальтере и полупрозрачном топе."
"Европейский центробанк (ЕЦБ) пообещал повышение ключевой ставки в ближайшие недели. Оно станет первым за последние 10 лет. По словам главы Бундесбанка (центробанка Германии) Йоахима Нагеля, ЕЦБ еще в марте решил постепенно свернуть программу количественного смягчения {QE}."
"Следователи проводят проверку по факту обнаружения останков во дворе частного дома в Саратове. Вечером 19 мая на территории участка во 2-м Миллеровском проезде на глубине 30 сантиметров в земле рабочие нашли фрагменты костей, принадлежащих, по предварительным данным, нескольким людям."
"Генеральный директор ЦСКА Роман Бабаев раскрыл подробности сделки по продлению контракта с российским вратарем Игорем Акинфеевым. «Важно отметить, что Игорь добровольно пошел на существенное понижение зарплаты, понимая, что для всех сложилась не самая простая финансовая ситуация», — заявил Бабаев."
"Ленинский районный суд в Иваново вынес приговор бывшему заместителю руководителя Центрального управления Ростехнадзора Владимиру Ивченко, признав его виновным в получении взяток. Он осужден на 10 лет колонии строгого режима и также оштрафован судом на 20 миллионов рублей."
"В России стали проектировать меньше жилья  — темпы проектирования новостроек в стране упали почти на 20 процентов за год. В период с января по апрель 2022 года положительное заключение экспертизы проектной документации получили 667 многоэтажек, что на 19,9 процента меньше, чем в аналогичный период 2021 года."
